"schema","signature","function_name","identity_arguments","result_type","owner","language","security_definer","volatility","config","grantee","can_execute","runtime_callers","classification","expected","difference"
"public","gbt_bit_picksplit(internal,internal)","gbt_bit_picksplit","internal, internal","internal","supabase_admin","c","false","i","","service_role","true","SEE function-callers inventory; dynamic callers UNKNOWN","UNCLASSIFIED","UNDECIDED","UNKNOWN"
"public","gbt_bit_same(gbtreekey_var,gbtreekey_var,internal)","gbt_bit_same","gbtreekey_var, gbtreekey_var, internal","internal","supabase_admin","c","false","i","","anon","true","SEE function-callers inventory; dynamic callers UNKNOWN","UNCLASSIFIED","UNDECIDED","UNKNOWN"
"public","gbt_bit_same(gbtreekey_var,gbtreekey_var,internal)","gbt_bit_same","gbtreekey_var, gbtreekey_var, internal","internal","supabase_admin","c","false","i","","authenticated","true","SEE function-callers inventory; dynamic callers UNKNOWN","UNCLASSIFIED","UNDECIDED","UNKNOWN"
"public","gbt_bit_same(gbtreekey_var,gbtreekey_var,internal)","gbt_bit_same","gbtreekey_var, gbtreekey_var, internal","internal","supabase_admin","c","false","i","","PUBLIC","true","SEE function-callers inventory; dynamic callers UNKNOWN","UNCLASSIFIED","UNDECIDED","UNKNOWN"
"public","gbt_bit_same(gbtreekey_var,gbtreekey_var,internal)","gbt_bit_same","gbtreekey_var, gbtreekey_var, internal","internal","supabase_admin","c","false","i","","service_role","true","SEE function-callers inventory; dynamic callers UNKNOWN","UNCLASSIFIED","UNDECIDED","UNKNOWN"
"public","gbt_bit_union(internal,internal)","gbt_bit_union","internal, internal","gbtreekey_var","supabase_admin","c","false","i","","anon","true","SEE function-callers inventory; dynamic callers UNKNOWN","UNCLASSIFIED","UNDECIDED","UNKNOWN"
"public","gbt_bit_union(internal,internal)","gbt_bit_union","internal, internal","gbtreekey_var","supabase_admin","c","false","i","","authenticated","true","SEE function-callers inventory; dynamic callers UNKNOWN","UNCLASSIFIED","UNDECIDED","UNKNOWN"
"public","gbt_bit_union(internal,internal)","gbt_bit_union","internal, internal","gbtreekey_var","supabase_admin","c","false","i","","PUBLIC","true","SEE function-callers inventory; dynamic callers UNKNOWN","UNCLASSIFIED","UNDECIDED","UNKNOWN"
"public","gbt_bit_union(internal,internal)","gbt_bit_union","internal, internal","gbtreekey_var","supabase_admin","c","false","i","","service_role","true","SEE function-callers inventory; dynamic callers UNKNOWN","UNCLASSIFIED","UNDECIDED","UNKNOWN"
"public","gbt_bool_compress(internal)","gbt_bool_compress","internal","internal","supabase_admin","c","false","i","","anon","true","SEE function-callers inventory; dynamic callers UNKNOWN","UNCLASSIFIED","UNDECIDED","UNKNOWN"
"public","gbt_bool_compress(internal)","gbt_bool_compress","internal","internal","supabase_admin","c","false","i","","authenticated","true","SEE function-callers inventory; dynamic callers UNKNOWN","UNCLASSIFIED","UNDECIDED","UNKNOWN"
"public","gbt_bool_compress(internal)","gbt_bool_compress","internal","internal","supabase_admin","c","false","i","","PUBLIC","true","SEE function-callers inventory; dynamic callers UNKNOWN","UNCLASSIFIED","UNDECIDED","UNKNOWN"
"public","gbt_bool_compress(internal)","gbt_bool_compress","internal","internal","supabase_admin","c","false","i","","service_role","true","SEE function-callers inventory; dynamic callers UNKNOWN","UNCLASSIFIED","UNDECIDED","UNKNOWN"
"public","gbt_bool_consistent(internal,boolean,smallint,oid,internal)","gbt_bool_consistent","internal, boolean, smallint, oid, internal","boolean","supabase_admin","c","false","i","","anon","true","SEE function-callers inventory; dynamic callers UNKNOWN","UNCLASSIFIED","UNDECIDED","UNKNOWN"
"public","gbt_bool_consistent(internal,boolean,smallint,oid,internal)","gbt_bool_consistent","internal, boolean, smallint, oid, internal","boolean","supabase_admin","c","false","i","","authenticated","true","SEE function-callers inventory; dynamic callers UNKNOWN","UNCLASSIFIED","UNDECIDED","UNKNOWN"
"public","gbt_bool_consistent(internal,boolean,smallint,oid,internal)","gbt_bool_consistent","internal, boolean, smallint, oid, internal","boolean","supabase_admin","c","false","i","","PUBLIC","true","SEE function-callers inventory; dynamic callers UNKNOWN","UNCLASSIFIED","UNDECIDED","UNKNOWN"
"public","gbt_bool_consistent(internal,boolean,smallint,oid,internal)","gbt_bool_consistent","internal, boolean, smallint, oid, internal","boolean","supabase_admin","c","false","i","","service_role","true","SEE function-callers inventory; dynamic callers UNKNOWN","UNCLASSIFIED","UNDECIDED","UNKNOWN"
